data,parity,throughput
46,6,3236.496886
46,7,3240.371184
46,8,3249.866781
46,9,3240.749099
46,10,3250.529256
47,1,3204.406556
47,2,3214.771191
47,3,3230.217821
47,4,3218.863674
47,5,3221.994687
47,6,3211.197247
47,7,3226.456894
47,8,3220.140236
47,9,3202.588206
47,10,3206.510832
48,1,3190.442515
48,2,3192.484832
48,3,3201.762362
48,4,3192.970861
48,5,3181.883397
48,6,3178.096111
48,7,3187.897578
48,8,3180.258003
48,9,3179.306698
48,10,3195.400418
49,1,3173.870703
49,2,3170.818546
49,3,3166.412216
49,4,3179.582848
49,5,3145.274866
49,6,3174.789689
49,7,3150.524956
49,8,3159.319023
49,9,3155.387526
49,10,3162.214975
50,1,3121.552719
50,2,3119.451208
50,3,3141.523323
50,4,3111.859094
50,5,3127.103003
50,6,3122.852589
50,7,3127.248053
50,8,3108.365131
50,9,3129.961375
50,10,3115.46747
