data	parity	throughput
6	13	2162.760055
6	14	2033.221413
6	15	1975.728645
7	11	2608.288233
7	12	2497.065713
7	13	2135.818224
7	14	2085.327547
7	15	1920.520862
8	11	2664.439725
8	12	2697.329806
8	13	2379.200603
8	14	2194.408896
8	15	2043.273148
9	11	2894.764239
9	12	2853.275823
9	13	2345.681323
9	14	2196.495546
9	15	2145.910245
10	11	3099.198328
10	12	2863.292034
10	13	2335.022738
10	14	2308.66204
10	15	2233.232173
11	11	2873.906812
11	12	2774.983226
11	13	2288.66061
11	14	2306.504029
11	15	2208.772386
12	11	2782.756622
12	12	2645.66434
12	13	2230.607987
12	14	2228.033643
12	15	2051.849505
13	11	2651.438345
13	12	2483.306441
13	13	2263.016572
13	14	2105.605304
13	15	1969.194788
14	11	2420.171478
14	12	2522.860834
14	13	2137.323604
14	14	2020.887913
14	15	1880.472205
15	11	2596.485863
15	12	2493.181851
15	13	2125.003345
15	14	1970.290179
15	15	1861.282061
16	11	2576.825787
16	12	2494.268783
16	13	2022.515014
16	14	1899.867614
16	15	1814.457005
17	11	2487.810375
17	12	2424.734494
17	13	2000.704689
17	14	1874.718386
17	15	1755.020517
18	11	2415.834831
18	12	2320.066718
18	13	1927.124007
18	14	1960.095645
18	15	1839.830786
19	11	2445.833346
19	12	2374.313892
19	13	1992.011012
19	14	1883.109458
19	15	1801.624063
20	11	2475.439701
20	12	2513.534341
20	13	1967.566566
20	14	1892.635473
20	15	1817.540061
21	11	2445.196055
21	12	2407.117366
21	13	2008.47153
21	14	2007.258854
21	15	1893.042054
22	11	2459.928426
22	12	2433.180386
22	13	1989.609783
22	14	1888.479578
22	15	1826.964321
23	11	2444.300345
23	12	2408.142643
23	13	1948.734874
23	14	1901.294951
23	15	1813.630652
24	11	2398.964109
24	12	2357.246067
24	13	1957.499228
24	14	1864.54007
24	15	1897.058016
25	11	2448.450473
25	12	2359.618203
25	13	1960.495766
25	14	1930.832395
25	15	1828.425285
26	11	2282.447078
26	12	2314.367344
26	13	1918.757242
26	14	2061.360661
26	15	1784.321161
27	11	2097.17824
27	12	2143.592698
27	13	1792.324451
27	14	1691.032515
27	15	1694.945949
28	11	2459.62101
28	12	1052.482844
28	13	1540.520306
28	14	1385.682554
28	15	1332.464573
29	11	1066.132415
29	12	1043.71335
29	13	1274.496205
29	14	1179.891923
29	15	1180.571362
30	11	1032.936883
30	12	1041.098023
30	13	1094.817035
30	14	1081.14438
30	15	973.215858
31	11	1049.415716
31	12	1034.002524
31	13	999.038987
31	14	964.171601
31	15	893.769691
32	11	1039.116467
32	12	1028.291783
32	13	975.760052
32	14	952.429215
32	15	857.084866
33	11	1050.048691
33	12	1033.176346
33	13	938.767177
33	14	891.730258
33	15	878.584798
34	11	1062.939803
34	12	1032.135973
34	13	948.222432
34	14	914.372445
34	15	890.070035
35	11	1047.563777
35	12	1026.062855
35	13	919.859449
35	14	891.129188
35	15	881.296676
36	11	1032.169394
36	12	1029.403054
36	13	921.687205
36	14	896.217562
36	15	866.796204
37	11	1032.161944
37	12	1035.704235
37	13	926.975448
37	14	899.066718
37	15	865.818686
38	11	1057.263158
38	12	1040.685775
38	13	921.256911
38	14	922.314998
38	15	894.965636
39	11	1062.999257
39	12	1029.087199
39	13	954.24815
39	14	923.883604
39	15	870.834633
40	11	1039.470654
40	12	1037.78691
40	13	941.117026
40	14	922.48431
40	15	871.442842
41	11	1042.48632
41	12	1040.292383
41	13	957.516045
41	14	927.244976
41	15	878.024875
42	11	1041.302838
42	12	1043.974113
42	13	967.22059
42	14	929.243129
42	15	874.053042
43	11	1047.888255
43	12	1049.453123
43	13	935.484217
43	14	908.468616
43	15	917.410118
44	11	1071.453426
44	12	1055.823622
44	13	958.91515
44	14	932.102634
44	15	876.668271
45	11	1052.25244
45	12	1054.420958
45	13	966.828623
45	14	936.425418
45	15	922.210282
46	11	1075.659414
46	12	1056.621086
46	13	936.207086
46	14	910.529609
46	15	878.717672
47	11	1056.395288
47	12	1056.571557
47	13	970.161054
47	14	937.030862
47	15	919.367923
48	11	1079.083378
48	12	1073.540329
48	13	947.479455
48	14	945.60566
48	15	911.32555
49	11	1057.137394
49	12	1074.997854
49	13	967.461878
49	14	948.410715
49	15	913.364245
50	11	1054.754263
50	12	1059.791375
50	13	939.021886
50	14	914.594905
50	15	881.244959
